"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"88",0.127688311808159,0.529369837422641,0.0192517982609331,0.0614562246023295,0.108605848500926,0.153627979405012
"89",0.0908917385716177,0.536863772348623,0.115758341980839,0.0725762757105632,0.105209672504542,0.0787001988838155
"90",0.0450954095227251,0.697735387547797,0.0199567712407591,0.050000587547725,0.0698418125696126,0.117370031571381
"91",0.0384720188393467,0.439708920716294,0.294707403738648,0.0341939396195083,0.0643620471123979,0.128555669973806
"92",0.071834714196167,0.585014474759806,0.0298926087777264,0.0806869592222899,0.13749564574791,0.0950755972961006
"93",0.0395261430312417,0.504260461934711,0.0164508400652741,0.0539608591699998,0.0790686517435659,0.306733044055207
"94",0.0540693037993974,0.503212342636016,0.0457385955149046,0.065959192846337,0.158788358731615,0.17223220647173
"95",0.0455297278922063,0.544632349911634,0.0715483881700051,0.0607960186881687,0.0810800847501629,0.196413430587823
"96",0.040092568254368,0.526750473921461,0.0178237396151251,0.0771759154643811,0.194973227498336,0.143184075246328
"97",0.0428295405526306,0.593154764538834,0.0126743154401988,0.0417822285520404,0.0434422402259093,0.266116910690387
"101",0.0375129783769889,0.318505175006043,0.038477400101701,0.0574715477184798,0.333990805889367,0.21404209290742
"102",0.0714365548256481,0.426656911931403,0.158472604484578,0.0552380609551439,0.105321528169315,0.182874339633912
"103",0.0431625974154602,0.409273895430612,0.188603313606867,0.0363642625977863,0.0880940312491354,0.234501899700139
"104",0.00296182955091065,0.00866333284078209,0.00547447091779994,0.00142579399150035,0.127085240075655,0.854389332623352
"109",0.0184511884131529,0.067080116805513,0.358584506129113,0.00815279745727887,0.0666263649161236,0.481105026278819
"110",0.0467021769294184,0.152868410094488,0.620587409032944,0.0527733052592249,0.0294278792741046,0.0976408194098196
